NAME,ADDRESS,CITY,STATE,ZIP,ZIP_PLUS4,COUNTY_CODE,COUNTY_NAME,MSA,MARKET_SEGMENT,EMPLOYEES_NON_COMMERCIAL,ENROLLMENT_RANGE,CAPACITY_BEDS_RANGE,NUMBER_OF_SCHOOLS_RANGE,OPERATION_TYPE,OWNERSHIP_TYPE,NUMBER_OF_MEALS_PER_DAY_RANGE,AVERAGE_DAILY_CENSUS,PRIMARY_GPO,SECONDARY_GPO,TOTAL_PATIENT_DAYS
EMERSON REHAB TCU,133 OLD ROAD TO 9 ACRE COR,CONCORD,MA,01742,4159,25017,MIDDLESEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,17,,,
DEACONESS ABUNDANT LIFE COMMUNITY,80 DEACONESS RD,CONCORD,MA,01742,4168,25017,MIDDLESEX,1122,ASSISTED LIVING,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,40,,,
MASSACHUSETTS CORRECTIONAL INSTITUTION,PO BOX 9106,CONCORD,MA,01742,9106,25017,MIDDLESEX,1122,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,
HOLLISTON SENIOR CENTER,150 GOULDING ST,HOLLISTON,MA,01746,2558,25017,MIDDLESEX,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
CONTINUING CARE CENTER AT HOPEDALE,325 S MAIN ST,HOPEDALE,MA,01747,1546,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,75,,,
SERENITY HOUSE SMOC-SUBSTANCE ABUSE SVCS,PO BOX 344,HOPKINTON,MA,01748,0344,25017,MIDDLESEX,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
NEXT GENERATION CHILDRENS CENTER,2 WOOD ST,HOPKINTON,MA,01748,1133,25017,MIDDLESEX,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
HOPKINTON PUBLIC SCHOOL DISTRICT,89 HAYDEN ROWE ST,HOPKINTON,MA,01748,2507,25017,MIDDLESEX,1122,SCHOOL DISTRICTS,UNCODED,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,,,,
HOPKINTON SENIOR CENTER,18 MAIN ST,HOPKINTON,MA,01748,3209,25017,MIDDLESEX,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
JOHN F KENNEDY MIDDLE SCHOOL,201 MANNING ST,HUDSON,MA,01749,1031,25017,MIDDLESEX,1122,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,251 TO 500,,,,
HUDSON PUBLIC SCHOOLS,155 APSLEY ST,HUDSON,MA,01749,1645,25017,MIDDLESEX,1122,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,
HUDSON SENIOR CENTER,29 CHURCH ST,HUDSON,MA,01749,2105,25017,MIDDLESEX,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
ASSABET VALLEY REGIONAL VOC SCHOOL DIST,215 FITCHBURG ST,MARLBOROUGH,MA,01752,1219,25017,MIDDLESEX,1122,SCHOOL DISTRICTS,UNCODED,501 TO 1000,NOT APPLICABLE,1,UNCODED,PUBLIC,501 TO 1000,,,,
ASSABET VALLEY REG VOC-TECH HIGH SCHOOL,215 FITCHBURG ST,MARLBOROUGH,MA,01752,1219,25017,MIDDLESEX,1122,SECONDARY SCHOOL,UNCODED,501 TO 1000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,,,,
MARLBOROUGH HOSPITAL,157 UNION ST,MARLBOROUGH,MA,01752,1228,25017,MIDDLESEX,1122,HOSPITALS,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,UNCODED,1001 TO 2000,,,,
MARLBOROUGH HILLS HEALTH CARE CENTER,121 NORTHBORO RD E,MARLBOROUGH,MA,01752,1844,25017,MIDDLESEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,176,PREMIER,,
MARLBOROUGH PUBLIC SCHOOL DISTRICT,17 WASHINGTON ST,MARLBOROUGH,MA,01752,2225,25017,MIDDLESEX,1122,SCHOOL DISTRICTS,501-750,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,
NEXT GENERATION CHILDRENS CENTER OF MARL,201 CEDAR HILL ST,MARLBOROUGH,MA,01752,3004,25017,MIDDLESEX,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
ADVOCATES COMMUNITY COUNSELING,340 MAPLE ST,MARLBOROUGH,MA,01752,3200,25017,MIDDLESEX,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
KINDERCARE LEARNING CENTER,496 BOSTON POST RD E,MARLBOROUGH,MA,01752,3624,25017,MIDDLESEX,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
MARIE ESTHER HEALTH CENTER,720 BOSTON POST RD E,MARLBOROUGH,MA,01752,3766,25017,MIDDLESEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,29,,,
MARLBORO COUNCIL ON AGING SENIOR CTR,250 MAIN ST,MARLBOROUGH,MA,01752,3854,25017,MIDDLESEX,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
BRIGHT HORIZONS AT SOLOMON PARK,150 DONALD LYNCH BLVD,MARLBOROUGH,MA,01752,4720,25017,MIDDLESEX,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
MAYNARD PUBLIC SCHOOL DISTRICT,12 BANCROFT ST,MAYNARD,MA,01754,1702,25017,MIDDLESEX,1122,SCHOOL DISTRICTS,1-250,1001 TO 2000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,1001 TO 2000,,,,
GERIATRIC AUTHORITY OF MILFORD,1 COUNTRYSIDE DR,MILFORD,MA,01757,1252,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,83,,,
EVERGREEN CENTER RESIDENTIAL CENTER,345 FORTUNE BLVD,MILFORD,MA,01757,1723,25027,WORCESTER,1122,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,PRIVATE,51 TO 100,,,,
MOTHER HUBBARD PRESCHOOL INC,76 SCHOOL ST,MILFORD,MA,01757,2060,25027,WORCESTER,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
MILFORD REGIONAL MEDICAL CENTER,14 PROSPECT ST,MILFORD,MA,01757,3003,25027,WORCESTER,1122,HOSPITALS,1000+,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,SODEXO,UNCODED,>2000,100.5,HPPI-HealthCare Purchasing Partners International,Amerinet Inc,"36,694"
BLAIR HOUSE OF MILFORD,20 CLAFLIN ST,MILFORD,MA,01757,3356,25027,WORCESTER,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,63,,,
MILFORD SENIOR CENTER,60 N BOW ST,MILFORD,MA,01757,3405,25027,WORCESTER,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
RIVERBEND OF SOUTH NATICK,34 LINCOLN STREET EXT,NATICK,MA,01760,5939,25017,MIDDLESEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,41,,,
BRANDON SCHOOL-RESIDENTIAL TREATMENT CTR,27 WINTER ST,NATICK,MA,01760,1015,25017,MIDDLESEX,1122,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,PRIVATE,51 TO 100,,,,
BEAUMONT REHABILITATION-SKILLED NURSING,3 VISION DR,NATICK,MA,01760,2059,25017,MIDDLESEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,COMPASS,PUBLIC,1001 TO 2000,51,,,
THE NEXT GENERATION CHILDRENS CENTER,15 STRATHMORE RD,NATICK,MA,01760,2418,25017,MIDDLESEX,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
CAMP MATOAKA,32 LANES END,NATICK,MA,01760,4140,25017,MIDDLESEX,1122,"CENTERS FOR CHILDREN, SUMMER CAMPS",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,
NATICK PUBLIC SCHOOL DISTRICT,13 E CENTRAL ST,NATICK,MA,01760,4629,25017,MIDDLESEX,1122,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,
THE TOBIN SCHOOL,73 COTTAGE ST,NATICK,MA,01760,5838,25017,MIDDLESEX,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
MARY ANN MORSE NURSING AND REHAB,45 UNION ST,NATICK,MA,01760,6056,25017,MIDDLESEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,109,,,
METROWEST MEDICAL CENTER-TCU,67 UNION ST,NATICK,MA,01760,7700,25017,MIDDLESEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,25,,,
PINE HILL ELEMENTARY SCHOOL,10 PINE HILL LN,SHERBORN,MA,01770,1541,25017,MIDDLESEX,1122,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,251 TO 500,,,,
SOUTHBOROUGH COUNCIL ON AGING SENIOR CTR,9 CORDAVILLE RD,SOUTHBOROUGH,MA,01772,1615,25027,WORCESTER,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
NEW ENGLAND CENTER FOR CHILDREN,33 TURNPIKE RD,SOUTHBOROUGH,MA,01772,2108,25027,WORCESTER,1122,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
LINCOLN PUBLIC SCHOOL DISTRICT,6 BALLFIELD RD,LINCOLN,MA,01773,3211,25017,MIDDLESEX,1122,SCHOOL DISTRICTS,1-250,1001 TO 2000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,1001 TO 2000,,,,
CAMP SEWATARO,1 LIBERTY LEDGE,SUDBURY,MA,01776,1398,25017,MIDDLESEX,1122,"CENTERS FOR CHILDREN, SUMMER CAMPS",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,
CAMP BAUERCREST,20 NORMANDY DR,SUDBURY,MA,01776,2122,25017,MIDDLESEX,1122,"CENTERS FOR CHILDREN, SUMMER CAMPS",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,
WINGATE AT SUDBURY REHAB-NURSING FAC,136 BOSTON POST RD,SUDBURY,MA,01776,2406,25017,MIDDLESEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,125,,,
NEXT GENERATION CHILDRENS CENTER OF SUDB,307 BOSTON POST RD,SUDBURY,MA,01776,3001,25017,MIDDLESEX,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
SUDBURY PINES EXTENDED CARE FACILITY,642 BOSTON POST RD,SUDBURY,MA,01776,3302,25017,MIDDLESEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,83,,,
FAIRBANK SENIOR CENTER,40 FAIRBANK RD,SUDBURY,MA,01776,5606,25017,MIDDLESEX,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
SUDBURY PUBLIC SCHOOL DISTRICT,40 FAIRBANK RD,SUDBURY,MA,01776,5606,25017,MIDDLESEX,1122,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,,,,
WAYLAND PUBLIC SCHOOL DISTRICT,PO BOX 408,WAYLAND,MA,01778,0408,25017,MIDDLESEX,1122,SCHOOL DISTRICTS,UNCODED,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,,,,
WAYLAND COA SENIOR CITIZENS CENTER,41 COCHITUATE RD,WAYLAND,MA,01778,2614,25017,MIDDLESEX,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
WAYLAND NURSING AND REHAB CENTER,188 COMMONWEALTH RD,WAYLAND,MA,01778,5027,25017,MIDDLESEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,39,,,
WOBURN NURSING CENTER,PO BOX 272,WOBURN,MA,01801,0472,25017,MIDDLESEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,136,,,
ITT TECHNICAL INSTITUTE,10 FORBES RD,WOBURN,MA,01801,2103,25017,MIDDLESEX,1122,TECHNICAL AND TRADE SCHOOLS,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,251 TO 500,,,,
WOBURN PUBLIC SCHOOL DISTRICT,55 LOCUST ST,WOBURN,MA,01801,3814,25017,MIDDLESEX,1122,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,10 AND PLUS,UNCODED,PUBLIC,>2000,,,,
NEW ENGLAND REHAB HOSPITAL,2 REHABILITATION WAY,WOBURN,MA,01801,6003,25017,MIDDLESEX,1122,HOSPITALS,251-500,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,SODEXO,UNCODED,>2000,110.8,MedAssets Supply Chain Systems,RPI - Radiology Partners Inc,"40,431"
CAB HEALTH AND RECOVERY SERVICES-AODA,800 W CUMMINGS PARK,WOBURN,MA,01801,6372,25017,MIDDLESEX,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
ARBOUR COUNSELING SERVICES-SBSTNC ABUSE,500 W CUMMINGS PARK,WOBURN,MA,01801,6500,25017,MIDDLESEX,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
COOPERATIVE ELDER/ADULT DC-BURLINGTON,37 B ST,BURLINGTON,MA,01803,3406,25017,MIDDLESEX,1122,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,UNCODED,101 TO 250,,,,
KINDER CARE LEARNING CENTER,133 CAMBRIDGE ST,BURLINGTON,MA,01803,3711,25017,MIDDLESEX,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,501 TO 1000,,PREMIER,,
TENDER LEARNING CENTRE AND KIDS CLUB,87 2ND AVE,BURLINGTON,MA,01803,4413,25017,MIDDLESEX,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
SHAWSHEEN SCHOOL,18 MAGNOLIA AVE,ANDOVER,MA,01810,2552,25009,ESSEX,1122,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,251 TO 500,,,,
MASSACHUSETTS SCHOOL LAW-ANDOVER,500 FEDERAL ST,ANDOVER,MA,01810,1017,25009,ESSEX,1122,TECHNICAL AND TRADE SCHOOLS,UNCODED,501 TO 1000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,501 TO 1000,,,,
GREATER LAWRENCE REGIONAL VOC DISTRICT,57 RIVER RD,ANDOVER,MA,01810,1144,25009,ESSEX,1122,SCHOOL DISTRICTS,UNCODED,1001 TO 2000,NOT APPLICABLE,1,UNCODED,PUBLIC,1001 TO 2000,,,,
GREATER LAWRENCE TECHNICAL HIGH SCHOOL,57 RIVER RD,ANDOVER,MA,01810,1144,25009,ESSEX,1122,SECONDARY SCHOOL,UNCODED,1001 TO 2000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,,,,
ACADEMY MANOR GENISIS ELDERCARE,89 MORTON ST,ANDOVER,MA,01810,2036,25009,ESSEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,153,,,
SHAWSHEEN EXTENDED DAY,65 PHILLIPS ST,ANDOVER,MA,01810,4032,25009,ESSEX,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
ISHAM HEALTH CENTER,180 MAIN ST,ANDOVER,MA,01810,4166,25009,ESSEX,1122,HOSPITALS,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
HENRY C SANBORN ELEMENTARY SCHOOL,84 LOVEJOY RD,ANDOVER,MA,01810,4529,25009,ESSEX,1122,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,251 TO 500,,,,
WINGATE AT ANDOVER REHAB-SNF,80 ANDOVER ST,ANDOVER,MA,01810,5606,25009,ESSEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,128,,,
NEXT GENERATION CHILDRENS CENTER,516 S MAIN ST,ANDOVER,MA,01810,6221,25009,ESSEX,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
BILLERICA HOUSE OF CORR-SHERIFF DEPT,PO BOX 565,BILLERICA,MA,01821,0565,25017,MIDDLESEX,1122,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
BILLERICA PUBLIC SCHOOLS,365 BOSTON RD,BILLERICA,MA,01821,8800,25017,MIDDLESEX,1122,SCHOOL DISTRICTS,501-750,OVER 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,
SHAWSHEEN VALLEY REGIONAL VOC TECH DIST,100 COOK ST,BILLERICA,MA,01821,5421,25017,MIDDLESEX,1122,SCHOOL DISTRICTS,UNCODED,1001 TO 2000,NOT APPLICABLE,1,UNCODED,PUBLIC,1001 TO 2000,,,,
CASTLE HILL ADULT DAY-HEALTH CARE,PO BOX 404,CHELMSFORD,MA,01824,0404,25017,MIDDLESEX,1122,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,UNCODED,101 TO 250,,,,
PALM MANOR-GENISIS ELDERCARE,40 PARKHURST RD,CHELMSFORD,MA,01824,1513,25017,MIDDLESEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,113,,,
MERRIMAC SPECIAL EDUCATION COLLABORATIVE,114 TURNPIKE RD,CHELMSFORD,MA,01824,3571,25017,MIDDLESEX,1122,SCHOOL DISTRICTS,UNCODED,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,PUBLIC,51 TO 100,,,,
KLUB KID TOO,160 TURNPIKE RD,CHELMSFORD,MA,01824,4058,25017,MIDDLESEX,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
KNOWLEDGE BEGINNINGS-BILLERICA RD,261 BILLERICA RD,CHELMSFORD,MA,01824,4113,25017,MIDDLESEX,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
SUNNY ACRES NURSING REHAB CENTER,254 BILLERICA RD,CHELMSFORD,MA,01824,4114,25017,MIDDLESEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,90,,,
DRACUT COUNCIL ON AGING SENIOR CENTER,951 MAMMOTH RD,DRACUT,MA,01826,3116,25017,MIDDLESEX,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
LITTLE ANGELS DAYCARE-LA ADVENTURE CLUB,90 ARLINGTON ST,DRACUT,MA,01826,4009,25017,MIDDLESEX,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
WINGATE AT HAVERHILL,190 NORTH AVE,HAVERHILL,MA,01830,2238,25009,ESSEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,118,,,
NORTHERN ESSEX COMMUNITY COLLEGE,100 ELLIOTT ST,HAVERHILL,MA,01830,2306,25009,ESSEX,1122,2 YEAR COLLEGE & UNIVERSITIES,UNCODED,OVER 5000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,>2000,,,,
THE OXFORD FACILITY,689 MAIN ST,HAVERHILL,MA,01830,2643,25009,ESSEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,115,,,
HAVERHILL CNCL ON AGING SENIOR CENTER,10 WELCOME ST,HAVERHILL,MA,01830,5631,25009,ESSEX,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
PHOENIX EAST THERAPEUTIC COMMUNITY-AODA,20 NEWCOMB ST,HAVERHILL,MA,01830,5808,25009,ESSEX,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
HAVERHILL PUBLIC SCHOOL DISTRICT,4 SUMMER ST,HAVERHILL,MA,01830,5836,25009,ESSEX,1122,SCHOOL DISTRICTS,751-999,OVER 5000,NOT APPLICABLE,10 AND PLUS,UNCODED,PUBLIC,>2000,,,,
WHITTIER REHABILITATION HOSPITAL,76 SUMMER ST,HAVERHILL,MA,01830,5814,25009,ESSEX,1122,HOSPITALS,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,UNCODED,1001 TO 2000,,,,
HEALTH-EDUCATION SVC-OTPTNT SBSTNC ABUSE,60 MERRIMACK ST,HAVERHILL,MA,01830,6207,25009,ESSEX,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
PENACOOK PLACE,150 WATER ST,HAVERHILL,MA,01830,6213,25009,ESSEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,COMPASS,PUBLIC,>2000,131,,,
BAKER KATZ NURSING HOME,194 BOARDMAN ST,HAVERHILL,MA,01830,6405,25009,ESSEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,65,,,
MERRIMACK VALLEY HOSPITAL TCU,140 LINCOLN AVE,HAVERHILL,MA,01830,6700,25009,ESSEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,25,,,
LAKEVIEW HOUSE NURSING HOME,PO BOX 1598,HAVERHILL,MA,01831,2298,25009,ESSEX,,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,25,,,
HANNAH DUSTON HEALTHCARE CENTER,126 MONUMENT ST,HAVERHILL,MA,01832,2527,25009,ESSEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,113,,,
BALDPATE HOSPITAL,83 BALDPATE RD,GEORGETOWN,MA,01833,2303,25009,ESSEX,1122,HOSPITALS,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,1001 TO 2000,,PREMIER,,
