NAME,CITY,STATE,ZIP,ZIP_PLUS4,COUNTY_CODE,COUNTY_NAME,MSA,market_segment2,units,EMPLOYEES,years_in_business,annual_sales
MEIJER,FLORENCE,KY,41042,4851,21015,BOONE,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),101-250 UNITS,OVER 50,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
WEST SIDE MARKET,ROCKY HILL,CT,06067,3003,09003,HARTFORD,3280,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
PARTY TOWN,FLORENCE,KY,41042,1616,21015,BOONE,1642,LIQUOR STORES,INDEPENDENT (1-9 UNITS),20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,"$2,500,001 - $5,000,000"
TOM'S GOURMET MARKETPLACE,NORTHBOROUGH,MA,01532,1952,25027,WORCESTER,1122,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
R M M U INC,FLORENCE,KY,41042,9631,21015,BOONE,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000"
IGA,FLORENCE,KY,41042,1234,21015,BOONE,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),101-250 UNITS,1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
REMKE MARKETS,FLORENCE,KY,41042,1619,21015,BOONE,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),OVER 50,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
SAKURA MART,FLORENCE,KY,41042,6935,21015,BOONE,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
SHAMROCK INN,FLORENCE,KY,41042,9601,21015,BOONE,1642,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,">$5,000,000"
IGA,FLORENCE,KY,41042,7764,21015,BOONE,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),101-250 UNITS,1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
TOUGAS FAMILY FARM,NORTHBOROUGH,MA,01532,1006,25027,WORCESTER,1122,FRUIT AND VEGETABLE MARKETS,INDEPENDENT (1-9 UNITS),20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
TURFWAY FOODMART,FLORENCE,KY,41042,2002,21015,BOONE,1642,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
TURFWAY LIQUOR,FLORENCE,KY,41042,2045,21015,BOONE,1642,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
UNITED DAIRY FARMERS,FLORENCE,KY,41042,7703,21015,BOONE,1642,CONVENIENCE STORES,101-250 UNITS,10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
UNITED DAIRY FARMERS,FLORENCE,KY,41042,3201,21015,BOONE,1642,CONVENIENCE STORES,101-250 UNITS,10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
VILLAGE MARKET & SPIRITS,FLORENCE,KY,41042,4252,21015,BOONE,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
BP,FLORENCE,KY,41042,4778,21015,BOONE,1642,GAS STATIONS,501+ UNITS,5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
WOOD'S CARRYOUT,FLORENCE,KY,41042,8651,21015,BOONE,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
COWBOY FOOD STORE,GLENCOE,KY,41046,9409,21081,GRANT,1642,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
GLENCOE GENERAL STORE,GLENCOE,KY,41046,9748,21081,GRANT,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
BEER BOOTH,ROGERS,KY,41365,8416,21237,WOLFE,,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,">$5,000,000"
ROGER'S GENERAL STORE,ROGERS,KY,41365,,,,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"$1,000,001 - $2,500,000"
FLICKS FOOD HEBRON,HEBRON,KY,41048,7524,21015,BOONE,1642,MEAT MARKET,INDEPENDENT (1-9 UNITS),20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
FLICK'S FOODS,HEBRON,KY,41048,9123,21015,BOONE,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
HEBRON DISCOUNT LIQUOR,HEBRON,KY,41048,9691,21015,BOONE,1642,LIQUOR STORES,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
LIQUOR CABINET,HEBRON,KY,41048,9119,21015,BOONE,1642,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,">$5,000,000"
MC GLASSON FRUIT,HEBRON,KY,41048,8707,21015,BOONE,1642,FRUIT AND VEGETABLE MARKETS,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
SCHREIBER FOODS,HEBRON,KY,41048,8774,21015,BOONE,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
UNITED DAIRY FARMERS,HEBRON,KY,41048,9692,21015,BOONE,1642,CONVENIENCE STORES,101-250 UNITS,20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
COX GROCERY,HILLSBORO,KY,41049,8412,21069,FLEMING,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,2 TO 5 YEARS,"$500,001 - $1,000,000"
GRANCE CITY GROCERY STORE,HILLSBORO,KY,41049,9263,21069,FLEMING,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
SALISBURY WINES,SALISBURY,CT,06068,1801,09005,LITCHFIELD,3280,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
KNELLC,INDEPENDENCE,KY,41051,8648,21117,KENTON,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
KROGER,INDEPENDENCE,KY,41051,8196,21117,KENTON,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
SAVE-A-LOT,INDEPENDENCE,KY,41051,8720,21117,KENTON,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
UNITED DAIRY FARMERS,INDEPENDENCE,KY,41051,7042,21117,KENTON,1642,CONVENIENCE STORES,101-250 UNITS,5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
MAY'S LICK MARKET,MAYSLICK,KY,41055,8889,21161,MASON,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),10 TO 19,2 TO 5 YEARS,"$2,500,001 - $5,000,000"
BRADFORDS ROUTE 8 FOOD MART,MAYSVILLE,KY,41056,9763,21161,MASON,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
C F LEE GROCERY,MAYSVILLE,KY,41056,9445,21161,MASON,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,">$5,000,000"
CANTRELL FIRST STOP,MAYSVILLE,KY,41056,9106,21161,MASON,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
KENTUCKY LIQUOR,MAYSVILLE,KY,41056,1264,21161,MASON,,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,">$5,000,000"
IGA,MAYSVILLE,KY,41056,1626,21161,MASON,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),101-250 UNITS,20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,"$2,500,001 - $5,000,000"
SHELL,MAYSVILLE,KY,41056,8347,21161,MASON,,GAS STATIONS,501+ UNITS,5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
FAST LANE INC,MAYSVILLE,KY,41056,9039,21161,MASON,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
FIRST STOP OF MAYSVILLE,MAYSVILLE,KY,41056,1237,21161,MASON,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,2 TO 5 YEARS,"<=$500,000"
SHELL,MAYSVILLE,KY,41056,1202,21161,MASON,,GAS STATIONS,501+ UNITS,5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
HIGHLAND GROCERY,MAYSVILLE,KY,41056,7313,21161,MASON,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
HUTCHINSON'S GROCERY,MAYSVILLE,KY,41056,1601,21161,MASON,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
KEN'S NEW MARKET,MAYSVILLE,KY,41056,9178,21161,MASON,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
KROGER,MAYSVILLE,KY,41056,8721,21161,MASON,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
MAYSVILLE FIRST STOP,MAYSVILLE,KY,41056,1287,21161,MASON,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000"
MAYSVILLE FOOD MART,MAYSVILLE,KY,41056,7100,21161,MASON,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
JAM A FOOD SHOP,SHARON,CT,06069,2127,09005,LITCHFIELD,3280,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
SAVE-A-LOT,MAYSVILLE,KY,41056,9181,21161,MASON,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
TIENDA Y TAQUERIA MI MEXICO,MAYSVILLE,KY,41056,9186,21161,MASON,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
YODERS COUNTRY MARKET LLC,MAYSVILLE,KY,41056,9110,21161,MASON,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
GILLIAM'S GROCERY,CROCKETT,KY,41413,,,,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
CHRISTIAN'S WATER SERVICES,MORNING VIEW,KY,41063,9672,21117,KENTON,1642,OTHER FOOD SPECIALIST RETAILERS,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
KORNER MARKET,MORNING VIEW,KY,41063,9653,21117,KENTON,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
SUNFLOWER SUNDRIES,MOUNT OLIVET,KY,41064,9605,21201,ROBERTSON,,OTHER FOOD SPECIALIST RETAILERS,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
THOMAS GROCERY,MOUNT OLIVET,KY,41064,,21201,ROBERTSON,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
11TH STREET GROCERY,NEWPORT,KY,41071,1508,21037,CAMPBELL,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$2,500,001 - $5,000,000"
PARTS DEPARTMENT DAIRY SUPPLIES,SHARON,CT,06069,2324,09005,LITCHFIELD,3280,OTHER FOOD SPECIALIST RETAILERS,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
AMERISTOP FOOD MART,NEWPORT,KY,41071,3229,21037,CAMPBELL,1642,CONVENIENCE STORES,51-100 UNITS,10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
ANTONES WINE & SPIRITS,SOUTHGATE,KY,41071,3273,21037,CAMPBELL,1642,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
COUNTRY BEVERAGES,EZEL,KY,41425,8665,21175,MORGAN,,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
COUNTRY CORNER GROCERY,EZEL,KY,41425,8818,21175,MORGAN,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
MALONEY'S GROCERY,EZEL,KY,41425,8939,21175,MORGAN,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
RICK'S WINE & SPIRITS,SHARON,CT,06069,2030,09005,LITCHFIELD,3280,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
BEN'S MINI MART,NEWPORT,KY,41071,1813,21037,CAMPBELL,1642,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
BIG DADDY'S LIQUOR STORE,NEWPORT,KY,41071,1126,21037,CAMPBELL,1642,LIQUOR STORES,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
BURKART CARRY-OUT,NEWPORT,KY,41071,1592,21037,CAMPBELL,1642,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
CHURCHILL MARKET,NEWPORT,KY,41071,2571,21037,CAMPBELL,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"$1,000,001 - $2,500,000"
CIRCLE K,NEWPORT,KY,41071,2107,21037,CAMPBELL,1642,GAS STATIONS,501+ UNITS,5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
COUNTRY FOOD BASKET,NEWPORT,KY,41071,2764,21037,CAMPBELL,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$2,500,001 - $5,000,000"
CRICKETTS CARRY OUT,NEWPORT,KY,41071,3041,21037,CAMPBELL,1642,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
EBERT'S MEAT MARKET,NEWPORT,KY,41071,2691,21037,CAMPBELL,1642,MEAT MARKET,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
FAMOUS FINE FRENCH CONFECTIONS,NEWPORT,KY,41071,2129,21037,CAMPBELL,1642,CONFECTIONERS,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
FRIENDS GROCERY,NEWPORT,KY,41071,1327,21037,CAMPBELL,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
GOOD SPIRITS WINE & TOBACCO,NEWPORT,KY,41071,2416,21037,CAMPBELL,1642,LIQUOR STORES,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
KROGER,NEWPORT,KY,41071,2998,21037,CAMPBELL,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,">$5,000,000"
MANSION FION HILL MARKET,NEWPORT,KY,41071,1748,21037,CAMPBELL,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
MC INTOSH GROCERIES,NEWPORT,KY,41071,3408,21037,CAMPBELL,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
MIKE'S CARRY OUT,NEWPORT,KY,41071,2133,21037,CAMPBELL,1642,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
MONEY SAVER MARKET,NEWPORT,KY,41071,1426,21037,CAMPBELL,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
NEWPORT LIQUOR DISPENSARY,NEWPORT,KY,41071,1813,21037,CAMPBELL,1642,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
SHARON PACKAGE STORE,SHARON,CT,06069,2011,09005,LITCHFIELD,3280,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
WINE CONSTILATION,NEWPORT,KY,41071,1652,21037,CAMPBELL,1642,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$2,500,001 - $5,000,000"
REMKE MARKETS,NEWPORT,KY,41071,2416,21037,CAMPBELL,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),OVER 50,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
RITE AID LIQUOR DEPARTMENT,NEWPORT,KY,41071,1105,21037,CAMPBELL,1642,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
SMUNI,NEWPORT,KY,41071,1748,21037,CAMPBELL,1642,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
SRI SAI SANJEEVI INC,NEWPORT,KY,41071,1222,21037,CAMPBELL,1642,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
SWEET DREAMS CANDY CO,NEWPORT,KY,41071,1679,21037,CAMPBELL,1642,CONFECTIONERS,INDEPENDENT (1-9 UNITS),10 TO 19,2 TO 5 YEARS,"<=$500,000"
SWEET TOOTH CANDIES,NEWPORT,KY,41071,1452,21037,CAMPBELL,1642,CONFECTIONERS,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
SWEET TOOTH CANDIES,NEWPORT,KY,41071,2129,21037,CAMPBELL,1642,CONFECTIONERS,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
TRAUTH DAIRY,NEWPORT,KY,41071,2110,21037,CAMPBELL,1642,OTHER FOOD SPECIALIST RETAILERS,INDEPENDENT (1-9 UNITS),20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
XTRA MART,SHARON,CT,06069,2000,09005,LITCHFIELD,3280,CONVENIENCE STORES,51-100 UNITS,5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
KROGER,BELLEVUE,KY,41073,1352,21037,CAMPBELL,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,10 TO 19,2 TO 5 YEARS,"<=$500,000"
MRS TEAPOTS,BELLEVUE,KY,41073,1009,21037,CAMPBELL,1642,OTHER FOOD SPECIALIST RETAILERS,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
ONE STOP LIQUORS,BELLEVUE,KY,41073,1302,21037,CAMPBELL,1642,LIQUOR STORES,INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
SAVE-A-LOT,BELLEVUE,KY,41073,1398,21037,CAMPBELL,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
SCHNEIDER'S HOMEMADE CANDIES,BELLEVUE,KY,41073,1012,21037,CAMPBELL,1642,CONFECTIONERS,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"$500,001 - $1,000,000"
SMOKES & SPIRITS,BELLEVUE,KY,41073,1286,21037,CAMPBELL,1642,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
THE PARTY SOURCE,BELLEVUE,KY,41073,1337,21037,CAMPBELL,1642,LIQUOR STORES,INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
UNITED DAIRY FARMERS,BELLEVUE,KY,41073,1058,21037,CAMPBELL,1642,CONVENIENCE STORES,101-250 UNITS,20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,"$2,500,001 - $5,000,000"
AMERISTOP FOOD MART,DAYTON,KY,41074,1151,21037,CAMPBELL,1642,CONVENIENCE STORES,51-100 UNITS,5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,">$5,000,000"
ANDY'S OF SIMSBURY,SIMSBURY,CT,06070,1825,09003,HARTFORD,3280,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),OVER 50,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
HANSMANS CORNER MARKET LLC,DAYTON,KY,41074,1322,21037,CAMPBELL,1642,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
LEGER CARRY OUT,DAYTON,KY,41074,1245,21037,CAMPBELL,1642,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
RIVERSIDE SUPER VALUE,DAYTON,KY,41074,1197,21037,CAMPBELL,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),OVER 50,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
APPLES OF EDEN,SIMSBURY,CT,06070,1446,09003,HARTFORD,3280,OTHER FOOD SPECIALIST RETAILERS,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
ASTANH LLC,SIMSBURY,CT,06070,1825,09003,HARTFORD,3280,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000"
LIQUOR DIRECT 2,FORT THOMAS,KY,41075,4108,21037,CAMPBELL,1642,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
OLDE FORT PUB,FORT THOMAS,KY,41075,2394,21037,CAMPBELL,1642,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,2 TO 5 YEARS,"$500,001 - $1,000,000"
A A LIQUOR & TOBACCO,HIGHLAND HEIGHTS,KY,41076,9102,21037,CAMPBELL,1642,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
